,Survived,Pclass,COLUMNA,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,nueva
3,1,1,9,female,35.0,1,0,113803,53.1,C123,S,hola
4,0,3,9,male,90.0,0,90,373450,90.0,8,90,hola
5,0,3,9,male,,0,0,330877,8.4583,8,Q,hola
6,0,1,9,male,90.0,0,90,17463,90.0,E46,90,hola
7,0,3,9,male,2.0,3,1,349909,21.075,8,S,hola
8,1,3,9,female,90.0,0,90,347742,90.0,8,90,hola
9,1,2,9,female,14.0,1,0,237736,30.0708,8,C,hola
10,1,3,9,female,90.0,1,90,PP 9549,90.0,G6,90,hola
11,1,1,9,female,58.0,0,0,113783,26.55,C103,S,hola
12,0,3,9,male,20.0,0,0,A/5. 2151,8.05,8,S,hola
13,0,3,9,male,39.0,1,5,347082,31.275,8,S,hola
14,0,3,9,female,14.0,0,0,350406,7.8542,8,S,hola
15,1,2,9,female,55.0,0,0,248706,16.0,8,S,hola
16,0,3,9,male,2.0,4,1,382652,29.125,8,Q,hola
17,1,2,9,male,,0,0,244373,13.0,8,S,hola
18,0,3,9,female,31.0,1,0,345763,18.0,8,S,hola
19,1,3,9,female,,0,0,2649,7.225,8,C,hola
20,0,2,9,male,35.0,0,0,239865,26.0,8,S,hola
21,1,2,9,male,34.0,0,0,248698,13.0,D56,S,hola
22,1,3,9,female,15.0,0,0,330923,8.0292,8,Q,hola
23,1,1,9,male,28.0,0,0,113788,35.5,A6,S,hola
24,0,3,9,female,8.0,3,1,349909,21.075,8,S,hola
25,1,3,9,female,38.0,1,5,347077,31.3875,8,S,hola
26,0,3,9,male,,0,0,2631,7.225,8,C,hola
27,0,1,9,male,19.0,3,2,19950,263.0,C23 C25 C27,S,hola
28,1,3,9,female,,0,0,330959,7.8792,8,Q,hola
29,0,3,9,male,,0,0,349216,7.8958,8,S,hola
30,0,1,9,male,40.0,0,0,PC 17601,27.7208,8,C,hola
31,1,1,9,female,,1,0,PC 17569,146.5208,B78,C,hola
32,1,3,9,female,,0,0,335677,7.75,8,Q,hola
33,0,2,9,male,66.0,0,0,C.A. 24579,10.5,8,S,hola
34,0,1,9,male,28.0,1,0,PC 17604,82.1708,8,C,hola
35,0,1,9,male,42.0,1,0,113789,52.0,8,S,hola
36,1,3,9,male,,0,0,2677,7.2292,8,C,hola
37,0,3,9,male,21.0,0,0,A./5. 2152,8.05,8,S,hola
38,0,3,9,female,18.0,2,0,345764,18.0,8,S,hola
39,1,3,9,female,14.0,1,0,2651,11.2417,8,C,hola
40,0,3,9,female,40.0,1,0,7546,9.475,8,S,hola
41,0,2,9,female,27.0,1,0,11668,21.0,8,S,hola
42,0,3,9,male,,0,0,349253,7.8958,8,C,hola
43,1,2,9,female,3.0,1,2,SC/Paris 2123,41.5792,8,C,hola
44,1,3,9,female,19.0,0,0,330958,7.8792,8,Q,hola
45,0,3,9,male,,0,0,S.C./A.4. 23567,8.05,8,S,hola
46,0,3,9,male,,1,0,370371,15.5,8,Q,hola
47,1,3,9,female,,0,0,14311,7.75,8,Q,hola
48,0,3,9,male,,2,0,2662,21.6792,8,C,hola
49,0,3,9,female,18.0,1,0,349237,17.8,8,S,hola
50,0,3,9,male,7.0,4,1,3101295,39.6875,8,S,hola
51,0,3,9,male,21.0,0,0,A/4. 39886,7.8,8,S,hola
52,1,1,9,female,49.0,1,0,PC 17572,76.7292,D33,C,hola
53,1,2,9,female,29.0,1,0,2926,26.0,8,S,hola
54,0,1,9,male,65.0,0,1,113509,61.9792,B30,C,hola
55,1,1,9,male,,0,0,19947,35.5,C52,S,hola
56,1,2,9,female,21.0,0,0,C.A. 31026,10.5,8,S,hola
57,0,3,9,male,28.5,0,0,2697,7.2292,8,C,hola
58,1,2,9,female,5.0,1,2,C.A. 34651,27.75,8,S,hola
59,0,3,9,male,11.0,5,2,CA 2144,46.9,8,S,hola
60,0,3,9,male,22.0,0,0,2669,7.2292,8,C,hola
61,1,1,9,female,38.0,0,0,113572,80.0,B28,,hola
62,0,1,9,male,45.0,1,0,36973,83.475,C83,S,hola
63,0,3,9,male,4.0,3,2,347088,27.9,8,S,hola
64,0,1,9,male,,0,0,PC 17605,27.7208,8,C,hola
65,1,3,9,male,,1,1,2661,15.2458,8,C,hola
66,1,2,9,female,29.0,0,0,C.A. 29395,10.5,F33,S,hola
67,0,3,9,male,19.0,0,0,S.P. 3464,8.1583,8,S,hola
68,1,3,9,female,17.0,4,2,3101281,7.925,8,S,hola
